City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Dates
Ribeira Grande,38.5167,-28.7,71.47,79,71,20.0,PT,1633821458
Mataura,-46.1927,168.8643,61.48,45,13,3.33,NZ,1633821483
Robertsport,6.7533,-11.3686,79.5,83,84,8.37,LR,1633821751
Ushuaia,-54.8,-68.3,46.06,81,75,32.21,AR,1633821347
Kapaa,22.0752,-159.319,85.98,69,90,5.01,US,1633821511
Quesnel,52.9999,-122.5029,46.9,87,90,8.05,CA,1633821754
Arman',59.7,150.1667,31.3,47,5,3.94,RU,1633821756
Mpanda,-6.3655,31.0409,76.19,35,73,0.69,TZ,1633821757
Mount Gambier,-37.8333,140.7667,53.33,57,42,8.63,AU,1633821559
Nabire,-3.3667,135.4833,80.55,85,93,2.26,ID,1633821760
Talnakh,69.4865,88.3972,15.78,93,50,8.68,RU,1633821496
Makakilo City,21.3469,-158.0858,80.92,63,90,14.97,US,1633821762
Bengkulu,-3.8004,102.2655,76.28,93,42,4.63,ID,1633821764
Busselton,-33.65,115.3333,45.09,78,95,7.25,AU,1633821548
Province of Mantua,45.1667,10.7833,60.28,77,66,5.01,IT,1633821766
Dabwāli,29.95,74.7333,76.91,36,0,5.37,IN,1633821767
Hong Kong,22.2855,114.1577,81.25,90,100,1.01,HK,1633821253
New Norfolk,-42.7826,147.0587,53.71,51,60,4.0,AU,1633821501
Rikitea,-23.1203,-134.9692,74.41,81,100,18.07,PF,1633821338
Puerto Ayora,-0.7393,-90.3518,70.56,87,79,5.99,EC,1633821421
Hithadhoo,-0.6,73.0833,82.51,69,100,9.6,MV,1633821355
Duvan,55.695,57.9024,41.29,92,100,6.6,RU,1633821774
Broome,42.2506,-75.833,61.86,72,40,3.0,US,1633821776
Inhambane,-23.865,35.3833,71.01,81,0,10.0,MZ,1633821777
Clyde River,70.4692,-68.5914,34.38,73,100,10.56,CA,1633821552
Tiksi,71.6872,128.8694,16.05,91,80,2.89,RU,1633821593
Chui,-33.6971,-53.4616,55.76,84,12,8.05,UY,1633821442
Lebu,-37.6167,-73.65,52.03,88,0,8.52,CL,1633821581
Palizada,18.25,-92.0833,85.98,75,100,0.78,MX,1633821783
Punta Arenas,-53.15,-70.9167,46.51,76,75,21.85,CL,1633821351
Yellowknife,62.456,-114.3525,42.42,100,90,3.0,CA,1633821329
Buin,-33.7333,-70.75,62.92,70,34,5.06,CL,1633821787
Qaanaaq,77.484,-69.3632,28.62,75,100,14.88,GL,1633821788
Albany,42.6001,-73.9662,61.66,79,100,1.99,US,1633821307
Bluff,-46.6,168.3333,62.8,62,60,3.76,NZ,1633821604
Kaeo,-35.1,173.7833,65.32,68,63,10.27,NZ,1633821763
Sebring,27.4956,-81.4409,82.31,85,75,4.0,US,1633821793
Saint Paul Harbor,57.79,-152.4072,51.31,46,75,18.41,US,1633821454
Eyl,7.9803,49.8164,77.05,84,27,10.71,SO,1633821795
Vila Franca do Campo,37.7167,-25.4333,73.2,83,60,9.13,PT,1633821430
Pokhara,28.2333,83.9833,66.47,79,41,4.56,NP,1633821798
Merauke,-8.4667,140.3333,80.91,80,98,12.3,ID,1633821799
Avera,33.194,-82.5271,75.25,83,37,6.67,US,1633821575
Nikolskoye,59.7035,30.7861,53.87,83,99,4.9,RU,1633821599
Tadine,-21.55,167.8833,74.26,54,86,15.59,NC,1633821803
Avarua,-21.2078,-159.775,77.05,65,90,4.61,CK,1633821553
Kaitangata,-46.2817,169.8464,58.32,54,2,3.62,NZ,1633821523
Hobart,-42.8794,147.3294,54.05,57,40,5.01,AU,1633821348
Atuona,-9.8,-139.0333,77.95,73,7,17.72,PF,1633821426
Jamestown,42.097,-79.2353,63.99,89,90,5.01,US,1633821308
Lodja,-3.4833,23.4333,70.56,93,83,0.94,CD,1633821810
Matara,5.9485,80.5353,78.98,87,100,10.8,LK,1633821811
Castro,-24.7911,-50.0119,56.3,99,100,5.12,BR,1633821410
Balabac,7.9868,117.0645,82.96,82,100,12.1,PH,1633821813
Porbandar,21.6422,69.6093,81.73,81,76,3.49,IN,1633821752
Santander,43.4647,-3.8044,59.99,93,90,2.3,ES,1633821605
East London,-33.0153,27.9116,60.71,68,7,17.92,ZA,1633821465
Darhan,49.4867,105.9228,32.67,62,1,6.26,MN,1633821592
Mana,5.6592,-53.7767,81.77,81,100,12.55,GF,1633821819
Porto Torres,40.835,8.3972,59.18,55,35,15.5,IT,1633821821
Hermanus,-34.4187,19.2345,56.89,79,0,10.4,ZA,1633821327
Mackenzie,55.2999,-123.1698,48.42,76,75,10.36,CA,1633821823
Necochea,-38.5473,-58.7368,54.03,80,0,10.78,AR,1633821824
Dunedin,-45.8742,170.5036,58.8,66,1,11.99,NZ,1633821826
Lebyazh'ye,55.2689,66.4947,40.21,78,100,7.96,RU,1633821827
Bredasdorp,-34.5322,20.0403,47.52,93,0,1.14,ZA,1633821564
Oranjemund,-28.55,16.4333,57.0,88,5,7.76,NA,1633821830
Northam,51.0333,-4.2167,59.4,95,100,3.22,GB,1633821832
Ouallam,14.3188,2.0866,92.62,21,69,6.24,NE,1633821833
Fairbanks,64.8378,-147.7164,39.6,85,90,3.44,US,1633821693
Vaini,-21.2,-175.2,80.76,83,20,5.75,TO,1633821330
Cascais,38.6979,-9.4215,63.97,75,57,3.0,PT,1633821837
Thibodaux,29.7958,-90.8229,83.97,69,41,1.01,US,1633821838
Cidreira,-30.1811,-50.2056,63.75,87,100,18.54,BR,1633821495
Tasiilaq,65.6145,-37.6368,32.16,84,12,6.85,GL,1633821509
Havøysund,70.9963,24.6622,41.88,95,100,3.24,NO,1633821771
Pevek,69.7008,170.3133,25.2,93,100,3.13,RU,1633821843
Havre-St-Pierre,50.2334,-63.5986,50.0,87,1,0.0,CA,1633821844
Husavik,66.0449,-17.3389,40.91,96,100,10.69,IS,1633821728
Caluquembe,-13.7833,14.6833,68.22,41,19,2.62,AO,1633821847
Tyulyachi,55.8913,50.2399,44.8,80,100,5.66,RU,1633821848
Upernavik,72.7868,-56.1549,33.31,62,99,17.69,GL,1633821453
Morondava,-20.2833,44.2833,75.79,80,0,3.85,MG,1633821850
Dire Dawa,9.5931,41.8661,70.68,80,100,5.1,ET,1633821852
Palmaner,13.2,78.75,71.26,89,100,9.08,IN,1633821853
Buala,-8.145,159.5921,84.25,68,85,3.29,SB,1633821660
Trairi,-3.2778,-39.2689,79.77,78,57,12.5,BR,1633821751
George Town,5.4112,100.3354,79.9,90,20,1.01,MY,1633821270
Port Alfred,-33.5906,26.891,59.41,75,14,17.25,ZA,1633821538
Oga,46.4631,10.347,41.68,84,18,2.1,IT,1633821859
Provideniya,64.3833,-173.3,32.18,73,27,4.25,RU,1633821648
Bandarbeyla,9.4942,50.8122,78.51,81,90,18.41,SO,1633821861
Sakakah,29.9697,40.2064,80.17,18,0,8.52,SA,1633821863
Salalah,17.0151,54.0924,80.69,83,20,8.05,OM,1633821709
Yumen,40.2833,97.2,33.12,34,0,6.87,CN,1633821865
Hilo,19.7297,-155.09,80.33,73,75,6.91,US,1633821039
Mar del Plata,-38.0023,-57.5575,55.09,63,0,3.0,AR,1633821865
Tuktoyaktuk,69.4541,-133.0374,30.2,93,90,14.97,CA,1633821408
Bundaberg,-24.85,152.35,79.21,57,40,8.01,AU,1633821870
Vanimo,-2.6741,141.3028,81.97,82,35,5.53,PG,1633821872
Vitry-le-François,48.7333,4.5833,49.17,77,2,6.38,FR,1633821873
Alcúdia,39.8532,3.1214,68.18,69,4,5.55,ES,1633821874
Puerto Baquerizo Moreno,-0.9,-89.6,68.32,80,72,10.4,EC,1633821876
Salé,34.0389,-6.8166,68.63,100,40,4.61,MA,1633821877
Poplar Bluff,36.757,-90.3929,81.99,57,1,6.91,US,1633821879
Lupşanu,44.3833,26.9,48.29,52,53,8.97,RO,1633821880
Owando,-0.4819,15.8999,72.57,98,100,2.93,CG,1633821881
Lompoc,34.6391,-120.4579,77.56,59,1,19.57,US,1633821534
Sukumo,32.9333,132.7333,74.77,76,81,7.2,JP,1633821884
Khatanga,71.9667,102.5,17.38,97,100,0.58,RU,1633821344
Beringovskiy,63.05,179.3167,30.51,94,100,6.64,RU,1633821425
At-Bashi,41.1702,75.8106,35.76,61,71,6.06,KG,1633821887
Cape Town,-33.9258,18.4232,59.34,61,0,9.82,ZA,1633821301
Mosquera,4.7059,-74.2302,57.29,100,40,2.3,CO,1633821788
St. George's,12.0564,-61.7485,80.24,84,37,7.18,GD,1633821891
Saskylakh,71.9167,114.0833,10.26,98,100,2.51,RU,1633821487
Yerofey Pavlovich,53.9667,121.9667,30.34,85,55,4.63,RU,1633821893
Butaritari,3.0707,172.7902,82.02,70,94,13.09,KI,1633821339
Upington,-28.4478,21.2561,61.18,25,0,4.61,ZA,1633821896
Benguela,-12.5763,13.4055,72.43,79,40,6.04,AO,1633821897
Farmington,36.7281,-108.2187,70.48,21,1,13.8,US,1633821679
Souillac,-20.5167,57.5167,72.36,83,75,12.66,MU,1633821556
Pudozh,61.8099,36.5345,48.74,98,100,5.57,RU,1633821901
Santa Isabel,-23.3156,-46.2214,62.65,94,93,4.94,BR,1633821902
Manturovo,58.3353,44.7619,44.1,80,100,4.94,RU,1633821904
Lagoa,39.05,-27.9833,69.62,78,85,21.72,PT,1633821884
Khuzdar,27.7384,66.6434,71.67,17,0,6.96,PK,1633821906
Bud,39.447,-86.1758,77.09,75,67,8.59,US,1633821908
Comodoro Rivadavia,-45.8667,-67.5,58.86,55,0,4.61,AR,1633821569
Iqaluit,63.7506,-68.5145,35.33,93,90,4.0,CA,1633821672
Grand Gaube,-20.0064,57.6608,72.37,74,1,5.99,MU,1633821911
Santa Cruz de la Sierra,-17.8,-63.1667,86.05,62,40,9.22,BO,1633821913
Longyearbyen,78.2186,15.6401,19.24,79,0,6.91,SJ,1633821914
Tonantins,-2.8731,-67.8022,78.85,77,71,2.13,BR,1633821916
Acarí,-15.4311,-74.6158,65.71,86,74,5.93,PE,1633821917
Rambha,19.5167,85.1,79.9,80,45,3.62,IN,1633821918
Terra Rica,-22.7094,-52.6169,67.01,94,100,11.72,BR,1633821920
Kang,-23.6752,22.7876,66.27,16,2,13.42,BW,1633821921
Cherskiy,68.75,161.3,10.83,96,99,5.46,RU,1633821467
Saravena,6.9538,-71.8752,73.06,93,80,3.98,CO,1633821924
Alyangula,-13.8483,136.4192,85.87,66,33,11.5,AU,1633821925
Kumluca,36.3703,30.2869,73.33,48,0,2.77,TR,1633821926
Meulaboh,4.1363,96.1285,76.23,86,88,5.1,ID,1633821680
Birin,26.8865,88.0718,60.76,86,41,3.04,NP,1633821929
Okhotsk,59.3833,143.3,26.98,71,4,11.81,RU,1633821845
Maniitsoq,65.4167,-52.9,32.16,81,100,14.14,GL,1633821931
Faya,18.3851,42.4509,64.51,46,6,9.46,SA,1633821933
Angoche,-16.2325,39.9086,72.93,75,0,10.54,MZ,1633821934
Kungurtug,50.5994,97.5228,21.97,82,7,2.68,RU,1633821935
Dikson,73.5069,80.5464,30.34,58,100,24.29,RU,1633821655
Jiazi,22.8779,116.067,77.83,81,75,16.17,CN,1633821938
San Luis,-33.295,-66.3356,64.44,47,88,3.38,AR,1633821939
Severo-Kuril'sk,50.6789,156.125,46.62,73,22,12.77,RU,1633821573
Aklavik,68.2191,-135.0107,32.72,86,90,5.75,CA,1633821600
Mahébourg,-20.4081,57.7,72.25,83,75,12.66,MU,1633821609
Bethel,41.3712,-73.414,63.01,83,90,1.99,US,1633821608
Vaitape,-16.5167,-151.75,78.53,70,13,5.48,PF,1633821945
Oistins,13.0667,-59.5333,75.29,94,75,5.75,BB,1633821946
Caravelas,-17.7125,-39.2481,73.24,76,100,8.5,BR,1633821529
Lal'sk,60.7415,47.5862,40.84,94,100,3.56,RU,1633821949
Port-Gentil,-0.7193,8.7815,78.76,89,90,9.22,GA,1633821950
Tommot,58.9564,126.2925,29.07,85,15,3.36,RU,1633821951
Arraial do Cabo,-22.9661,-42.0278,67.28,81,100,19.86,BR,1633821493
Kavaratti,10.5669,72.642,82.06,79,90,11.65,IN,1633821479
Coahuayana Viejo,18.7333,-103.6833,90.88,72,100,4.52,MX,1633821955
Licata,37.1071,13.9461,64.06,76,25,6.2,IT,1633821957
Lubango,-14.9172,13.4925,69.37,34,27,2.68,AO,1633821958
Werda,-25.2667,23.2833,62.42,22,3,9.06,BW,1633821959
Aljezur,37.3191,-8.8033,65.08,80,89,4.21,PT,1633821961
Kiryat Gat,31.61,34.7642,72.39,72,0,5.46,IL,1633821962
Mariakani,-3.8633,39.4736,70.47,96,19,4.45,KE,1633821963
San Quintín,30.4833,-115.95,69.33,61,20,21.92,MX,1633821965
Ilulissat,69.2167,-51.1,30.22,64,75,9.22,GL,1633821966
Isangel,-19.55,169.2667,78.91,69,75,9.22,VU,1633821445
Tual,-5.6667,132.75,81.99,78,86,8.25,ID,1633821969
Bilma,18.6853,12.9164,82.78,16,1,5.53,NE,1633821948
Juneau,58.3019,-134.4197,46.45,91,90,9.22,US,1633821970
Xai-Xai,-25.0519,33.6442,70.48,88,48,23.33,MZ,1633821973
Brawley,32.9787,-115.5303,88.48,13,1,5.75,US,1633821974
Darnah,32.767,22.6367,72.88,78,0,3.31,LY,1633821975
Ponta do Sol,32.6667,-17.1,72.23,73,20,4.25,PT,1633821748
Severo-Yeniseyskiy,60.3725,93.0408,28.49,91,100,13.85,RU,1633821978
Williamsport,41.2412,-77.0011,64.4,80,90,3.44,US,1633821979
Kurchum,48.5722,83.6542,39.02,49,0,5.82,KZ,1633821981
Gouré,13.9835,10.2704,85.01,15,100,7.23,NE,1633821684
Pangai,-19.8,-174.35,76.8,77,88,10.87,TO,1633821983
High Level,58.5169,-117.136,57.31,38,20,4.61,CA,1633821984
Lavrentiya,65.5833,-171.0,32.09,75,61,8.84,RU,1633821781
Eidsvåg,62.7767,8.0668,59.65,92,100,3.87,NO,1633821987
Sinop Province,41.7711,34.8709,52.77,92,73,1.57,TR,1633821988
Constitución,-35.3333,-72.4167,51.75,89,41,4.34,CL,1633821656
Karratha,-20.7377,116.8463,77.11,26,0,18.07,AU,1633821991
Torbay,47.6666,-52.7314,44.38,86,75,21.85,CA,1633821862
Edirne,41.6772,26.556,51.8,82,100,11.43,TR,1633821993
Kawalu,-7.3817,108.2082,72.27,94,84,0.81,ID,1633821994
Fortuna,40.5982,-124.1573,73.47,52,3,1.99,US,1633821996
Zhangjiakou Shi Xuanhua Qu,40.6103,115.0447,45.9,41,100,17.76,CN,1633821997
Tuatapere,-46.1333,167.6833,62.82,51,59,4.29,NZ,1633821681
Okha,53.5739,142.9478,44.78,89,100,11.88,RU,1633822000
Pio XII,-3.8325,-45.1525,76.86,89,99,4.97,BR,1633822001
Nantucket,41.2835,-70.0995,61.02,84,1,9.22,US,1633822002
Hamilton,39.1834,-84.5333,76.84,73,1,3.44,US,1633821339
Amapá,1.0,-52.0,72.41,97,99,6.51,BR,1633822005
Rupert,42.6191,-113.6772,54.84,62,90,12.66,US,1633822006
Talcahuano,-36.7167,-73.1167,55.08,76,90,4.61,CL,1633822008
Plast,54.3691,60.8136,41.67,89,94,5.59,RU,1633822009
Biak,-0.9131,122.8766,78.24,73,94,4.45,ID,1633821825
Opuwo,-18.0607,13.84,73.29,20,0,3.91,NA,1633822011
Riyadh,24.6877,46.7219,77.14,17,1,3.51,SA,1633821522
Nakhon Ratchasima,15.0,102.1667,75.85,100,83,5.75,TH,1633822014
Coquimbo,-29.9533,-71.3436,56.93,67,0,8.05,CL,1633821272
Goth Phulji,26.8825,67.6807,87.17,32,0,5.59,PK,1633822016
Morros,-9.4467,-46.3003,89.94,21,88,3.6,BR,1633822018
Lata,40.1629,-8.3327,61.07,78,57,2.82,PT,1633822019
Kouqian,43.6391,126.4578,51.66,75,100,14.03,CN,1633822020
Elverum,60.8819,11.5623,52.59,95,100,5.91,NO,1633822022
Kailua,21.4022,-157.7394,82.38,65,90,17.27,US,1633821851
Bourail,-21.5667,165.4833,77.09,46,0,6.11,NC,1633822024
Altona,53.55,9.9333,47.62,82,0,4.61,DE,1633822026
Kamina,-8.7386,24.9906,71.83,35,0,1.79,CD,1633822027
Chara,56.9064,118.2631,30.2,60,39,1.52,RU,1633821656
Balingasay,16.3573,119.8564,81.19,82,100,3.31,PH,1633821847
Kruisfontein,-34.0033,24.7314,57.88,80,4,8.97,ZA,1633821456
Bar Harbor,44.3876,-68.2039,52.92,82,1,4.0,US,1633822032
Norman Wells,65.282,-126.8329,32.04,93,90,9.22,CA,1633821507
Vardø,70.3705,31.1107,41.13,92,100,7.43,NO,1633821626
Saint-Philippe,-21.3585,55.7679,71.19,85,46,14.29,RE,1633822036
Thompson,55.7435,-97.8558,51.96,50,20,5.75,CA,1633821994
Maryborough,-25.5333,152.7,77.72,49,16,7.45,AU,1633822038
Beloha,-25.1667,45.05,67.6,76,1,5.01,MG,1633821547
Nanortalik,60.1432,-45.2371,36.03,83,7,6.24,GL,1633821847
Vokhma,58.9303,46.7586,42.53,92,100,4.23,RU,1633822042
Richards Bay,-28.783,32.0377,67.28,74,100,17.45,ZA,1633822043
Buchanan,5.8808,-10.0467,76.96,89,93,5.5,LR,1633822045
Margate,51.3813,1.3862,52.7,71,7,4.27,GB,1633822046
Bilibino,68.0546,166.4372,8.92,94,100,1.16,RU,1633822047
Jacareacanga,-6.2222,-57.7528,81.0,67,53,2.04,BR,1633822049
Port Lincoln,-34.7333,135.8667,54.86,53,91,12.62,AU,1633821392
Bowen,-20.0167,148.2333,80.82,64,7,15.59,AU,1633822052
Baykit,61.67,96.37,32.88,81,100,17.87,RU,1633822054
Dogbo,6.8167,1.7833,76.28,93,98,4.29,BJ,1633822055
Grand-Santi,4.25,-54.3833,80.6,71,91,4.85,GF,1633822057
Tacoronte,28.4769,-16.4102,67.14,78,75,14.0,ES,1633822058
Nioro,13.35,-15.75,78.42,84,98,5.68,GM,1633822060
Kahului,20.8947,-156.47,79.86,86,40,20.71,US,1633821852
Faanui,-16.4833,-151.75,78.55,70,13,5.55,PF,1633822062
Nishihara,26.1842,127.7558,82.45,84,40,17.27,JP,1633822063
Samarai,-10.6167,150.6667,80.24,78,88,14.99,PG,1633821922
Saint Lawrence,36.0553,14.204,68.86,80,2,11.27,MT,1633822066
Kumano,34.3442,132.5894,72.77,80,0,1.9,JP,1633822067
Camachile,14.6436,120.5808,82.45,87,99,3.62,PH,1633822069
Lüderitz,-26.6481,15.1594,64.17,52,81,12.8,NA,1633822070
Oliver,49.1831,-119.5524,61.93,41,60,4.61,CA,1633822071
Ostrovnoy,68.0531,39.5131,37.9,97,100,14.03,RU,1633822073
Jining,35.405,116.5814,60.89,87,97,14.38,CN,1633822074
Nouadhibou,20.931,-17.0347,73.38,73,84,17.27,MR,1633821478
Kavieng,-2.5744,150.7967,82.78,74,80,9.22,PG,1633822077
Padang,-0.9492,100.3543,75.25,89,50,4.21,ID,1633821766
Las Vegas,36.175,-115.1372,78.53,21,40,11.5,US,1633821857
Vestmannaeyjar,63.4427,-20.2734,46.31,81,98,5.53,IS,1633821746
Oodweyne,9.4092,45.064,74.53,64,89,8.39,SO,1633821919
Vanavara,60.34,102.2797,34.97,75,100,16.73,RU,1633822082
Erzin,36.9559,36.2,71.01,30,0,3.2,TR,1633821879
Tomatlán,19.9333,-105.25,83.37,85,100,4.79,MX,1633822085
Ancud,-41.8697,-73.8203,56.73,89,0,6.33,CL,1633821628
Mersing,2.4312,103.8405,76.91,100,99,6.91,MY,1633822087
Borba,-4.3878,-59.5939,81.28,67,57,2.13,BR,1633822089
Carnarvon,-24.8667,113.6333,60.87,59,0,11.5,AU,1633822090
Ulety,51.3572,112.4849,29.41,85,8,6.98,RU,1633822091
Hede,33.7681,120.2517,73.04,93,78,2.66,CN,1633822093
Saint Anthony,45.0205,-93.218,74.35,70,1,3.0,US,1633821972
Laas,46.6166,10.7002,47.28,78,3,3.4,IT,1633822095
Port Hedland,-20.3167,118.5667,82.45,21,0,17.27,AU,1633822097
Chokurdakh,70.6333,147.9167,4.51,98,95,5.44,RU,1633821877
Yangi Marg`ilon,40.4272,71.7189,47.62,69,100,3.85,UZ,1633822099
Ust'-Barguzin,53.45,108.9833,37.56,86,94,9.35,RU,1633822100
Whitehorse,60.7161,-135.0538,47.17,39,75,18.01,CA,1633822102
Sisimiut,66.9395,-53.6735,32.11,77,100,11.79,GL,1633821522
Chifeng,42.2683,118.9636,46.09,44,96,13.71,CN,1633822104
Itoman,26.1247,127.6694,83.17,81,40,17.27,JP,1633821880
Damaturu,11.747,11.9608,83.39,22,44,3.0,NG,1633822107
Barrow,71.2906,-156.7887,32.02,80,75,8.05,US,1633822108
Ajdabiya,30.7554,20.2263,77.76,29,0,11.48,LY,1633822110
San Patricio,28.017,-97.5169,86.72,52,0,13.02,US,1633822111
Castlebar,53.85,-9.3,52.95,94,13,3.58,IE,1633822112
Mehamn,71.0357,27.8492,38.79,95,100,6.73,NO,1633822114
Sorong,-0.8833,131.25,79.65,89,68,7.0,ID,1633821998
Naze,28.3667,129.4833,79.72,74,70,20.67,JP,1633822116
Alta Floresta,-9.8756,-56.0861,79.14,64,67,4.07,BR,1633821718
Port Elizabeth,-33.918,25.5701,60.1,94,90,14.97,ZA,1633821620
Tres Arroyos,-38.3739,-60.2798,53.96,67,0,9.13,AR,1633822120
